method,feature,iv,n_bins,quality_score
CTM,var_collapse,0.0,1,0.0
CTM,equiangular_uc,0.0,1,0.0
CTM,equiangular_wc,1.0975073134817155,2,0.04869259671196398
CTM,equinorm_uc,1.0259797429846147,3,0.10799064504015672
CTM,equinorm_wc,0.16479184330021643,2,0.19101441368953398
CTM,max_equiangular_uc,0.0,1,0.0
CTM,max_equiangular_wc,0.0,1,0.0
CTM,self_duality,0.0,1,0.0
CTM,dropout,0.0,1,0.0
Energy,var_collapse,0.0,1,0.0
Energy,equiangular_uc,0.0,1,0.0
Energy,equiangular_wc,1.097507313481716,2,0.048692596711963805
Energy,equinorm_uc,1.0259797429846147,3,0.10799064504015672
Energy,equinorm_wc,0.16479184330021648,2,0.19101441368953406
Energy,max_equiangular_uc,0.0,1,0.0
Energy,max_equiangular_wc,0.0,1,0.0
Energy,self_duality,0.0,1,0.0
Energy,dropout,0.0,1,0.0
NNGuide,var_collapse,0.6429868635805134,2,0.4100013433223545
NNGuide,equiangular_uc,0.0,1,0.0
NNGuide,equiangular_wc,0.1961658506023453,2,0.28697850379947626
NNGuide,equinorm_uc,0.5877267541026936,3,0.23541497930846433
NNGuide,equinorm_wc,1.1491788795717637,3,0.007732357934379737
NNGuide,max_equiangular_uc,0.0,1,0.0
NNGuide,max_equiangular_wc,0.0,1,0.0
NNGuide,self_duality,0.0,1,0.0
NNGuide,dropout,0.0,1,0.0
NeCo,var_collapse,1.663553233343869,2,0.0006113824134457999
NeCo,equiangular_uc,0.0,1,0.0
NeCo,equiangular_wc,0.0,1,0.0
NeCo,equinorm_uc,1.826713462634054,2,0.00011851346200613197
NeCo,equinorm_wc,0.0,1,0.0
NeCo,max_equiangular_uc,0.0,1,0.0
NeCo,max_equiangular_wc,0.0,1,0.0
NeCo,self_duality,0.0,1,0.0
NeCo,dropout,0.0,1,0.0
fDBD,var_collapse,1.663553233343869,2,0.0006113824134457999
fDBD,equiangular_uc,0.0,1,0.0
fDBD,equiangular_wc,0.0,1,0.0
fDBD,equinorm_uc,1.826713462634054,2,0.00011851346200613197
fDBD,equinorm_wc,0.0,1,0.0
fDBD,max_equiangular_uc,0.0,1,0.0
fDBD,max_equiangular_wc,0.0,1,0.0
fDBD,self_duality,0.0,1,0.0
fDBD,dropout,0.0,1,0.0
